home_team,away_team,home_score,away_score,score,zero_zero_count,early_goals_count,late_goals_count,goal_count,early_goal_teams,late_goal_teams,minutes_list,first_goal_minute,last_goal_minute,match_link
Rennes,Nantes,2,1,2 - 1,1,3,1,2,"['Rennes 2 vs 1 Nantes', 'Rennes 2 vs 1 Nantes', 'Rennes 2 vs 1 Nantes', 'Nantes 1 vs 1 PSG', 'Nantes 1 vs 1 PSG', 'Toulouse 1 vs 2 Lille', 'Toulouse 1 vs 2 Lille', 'Toulouse 1 vs 2 Lille', 'Nice 1 vs 2 Nantes', 'Nice 1 vs 2 Nantes', 'Nice 1 vs 2 Nantes']","['Marseille 3 vs 2 Toulouse', 'Le Havre 3 vs 2 Nantes', 'Toulouse 2 vs 4 Brest']","[23, 54, 86]",23,86,https://ca.soccerway.com/matches/2025/04/18/france/ligue-1/rennes/nantes/4373015/
Nantes,PSG,1,1,1 - 1,2,5,1,3,"['Rennes 2 vs 1 Nantes', 'Rennes 2 vs 1 Nantes', 'Rennes 2 vs 1 Nantes', 'Nantes 1 vs 1 PSG', 'Nantes 1 vs 1 PSG', 'Toulouse 1 vs 2 Lille', 'Toulouse 1 vs 2 Lille', 'Toulouse 1 vs 2 Lille', 'Nice 1 vs 2 Nantes', 'Nice 1 vs 2 Nantes', 'Nice 1 vs 2 Nantes']","['Marseille 3 vs 2 Toulouse', 'Le Havre 3 vs 2 Nantes', 'Toulouse 2 vs 4 Brest']","[33, 83]",33,83,https://ca.soccerway.com/matches/2025/04/22/france/ligue-1/nantes/psg/4373001/
Nantes,Lille,1,0,1 - 0,3,5,1,3,"['Rennes 2 vs 1 Nantes', 'Rennes 2 vs 1 Nantes', 'Rennes 2 vs 1 Nantes', 'Nantes 1 vs 1 PSG', 'Nantes 1 vs 1 PSG', 'Toulouse 1 vs 2 Lille', 'Toulouse 1 vs 2 Lille', 'Toulouse 1 vs 2 Lille', 'Nice 1 vs 2 Nantes', 'Nice 1 vs 2 Nantes', 'Nice 1 vs 2 Nantes']","['Marseille 3 vs 2 Toulouse', 'Le Havre 3 vs 2 Nantes', 'Toulouse 2 vs 4 Brest']",[],,,https://ca.soccerway.com/matches/2025/03/15/france/ligue-1/nantes/lille/4372978/
Toulouse,Monaco,1,1,1 - 1,3,5,1,3,"['Rennes 2 vs 1 Nantes', 'Rennes 2 vs 1 Nantes', 'Rennes 2 vs 1 Nantes', 'Nantes 1 vs 1 PSG', 'Nantes 1 vs 1 PSG', 'Toulouse 1 vs 2 Lille', 'Toulouse 1 vs 2 Lille', 'Toulouse 1 vs 2 Lille', 'Nice 1 vs 2 Nantes', 'Nice 1 vs 2 Nantes', 'Nice 1 vs 2 Nantes']","['Marseille 3 vs 2 Toulouse', 'Le Havre 3 vs 2 Nantes', 'Toulouse 2 vs 4 Brest']",[],,,https://ca.soccerway.com/matches/2025/03/07/france/ligue-1/toulouse/monaco/4372965/
Reims,Toulouse,1,0,1 - 0,3,5,1,3,"['Rennes 2 vs 1 Nantes', 'Rennes 2 vs 1 Nantes', 'Rennes 2 vs 1 Nantes', 'Nantes 1 vs 1 PSG', 'Nantes 1 vs 1 PSG', 'Toulouse 1 vs 2 Lille', 'Toulouse 1 vs 2 Lille', 'Toulouse 1 vs 2 Lille', 'Nice 1 vs 2 Nantes', 'Nice 1 vs 2 Nantes', 'Nice 1 vs 2 Nantes']","['Marseille 3 vs 2 Toulouse', 'Le Havre 3 vs 2 Nantes', 'Toulouse 2 vs 4 Brest']",[],,,https://ca.soccerway.com/matches/2025/04/20/france/ligue-1/reims/toulouse/4373013/
Strasbourg,Toulouse,2,1,2 - 1,3,5,1,3,"['Rennes 2 vs 1 Nantes', 'Rennes 2 vs 1 Nantes', 'Rennes 2 vs 1 Nantes', 'Nantes 1 vs 1 PSG', 'Nantes 1 vs 1 PSG', 'Toulouse 1 vs 2 Lille', 'Toulouse 1 vs 2 Lille', 'Toulouse 1 vs 2 Lille', 'Nice 1 vs 2 Nantes', 'Nice 1 vs 2 Nantes', 'Nice 1 vs 2 Nantes']","['Marseille 3 vs 2 Toulouse', 'Le Havre 3 vs 2 Nantes', 'Toulouse 2 vs 4 Brest']",[],,,https://ca.soccerway.com/matches/2025/03/16/france/ligue-1/strasbourg/toulouse/4372977/
Toulouse,Lille,1,2,1 - 2,3,8,1,6,"['Rennes 2 vs 1 Nantes', 'Rennes 2 vs 1 Nantes', 'Rennes 2 vs 1 Nantes', 'Nantes 1 vs 1 PSG', 'Nantes 1 vs 1 PSG', 'Toulouse 1 vs 2 Lille', 'Toulouse 1 vs 2 Lille', 'Toulouse 1 vs 2 Lille', 'Nice 1 vs 2 Nantes', 'Nice 1 vs 2 Nantes', 'Nice 1 vs 2 Nantes']","['Marseille 3 vs 2 Toulouse', 'Le Havre 3 vs 2 Nantes', 'Toulouse 2 vs 4 Brest']","[21, 42, 49]",21,49,https://ca.soccerway.com/matches/2025/04/12/france/ligue-1/toulouse/lille/4372998/
Nantes,Strasbourg,0,1,0 - 1,5,8,1,6,"['Rennes 2 vs 1 Nantes', 'Rennes 2 vs 1 Nantes', 'Rennes 2 vs 1 Nantes', 'Nantes 1 vs 1 PSG', 'Nantes 1 vs 1 PSG', 'Toulouse 1 vs 2 Lille', 'Toulouse 1 vs 2 Lille', 'Toulouse 1 vs 2 Lille', 'Nice 1 vs 2 Nantes', 'Nice 1 vs 2 Nantes', 'Nice 1 vs 2 Nantes']","['Marseille 3 vs 2 Toulouse', 'Le Havre 3 vs 2 Nantes', 'Toulouse 2 vs 4 Brest']",[],,,https://ca.soccerway.com/matches/2025/03/09/france/ligue-1/nantes/strasbourg/4372964/
Le Havre,Nantes,3,2,3 - 2,5,8,2,6,"['Rennes 2 vs 1 Nantes', 'Rennes 2 vs 1 Nantes', 'Rennes 2 vs 1 Nantes', 'Nantes 1 vs 1 PSG', 'Nantes 1 vs 1 PSG', 'Toulouse 1 vs 2 Lille', 'Toulouse 1 vs 2 Lille', 'Toulouse 1 vs 2 Lille', 'Nice 1 vs 2 Nantes', 'Nice 1 vs 2 Nantes', 'Nice 1 vs 2 Nantes']","['Marseille 3 vs 2 Toulouse', 'Le Havre 3 vs 2 Nantes', 'Toulouse 2 vs 4 Brest']",[],,,https://ca.soccerway.com/matches/2025/03/30/france/ligue-1/le-havre/nantes/4372982/
Toulouse,Brest,2,4,2 - 4,5,8,3,6,"['Rennes 2 vs 1 Nantes', 'Rennes 2 vs 1 Nantes', 'Rennes 2 vs 1 Nantes', 'Nantes 1 vs 1 PSG', 'Nantes 1 vs 1 PSG', 'Toulouse 1 vs 2 Lille', 'Toulouse 1 vs 2 Lille', 'Toulouse 1 vs 2 Lille', 'Nice 1 vs 2 Nantes', 'Nice 1 vs 2 Nantes', 'Nice 1 vs 2 Nantes']","['Marseille 3 vs 2 Toulouse', 'Le Havre 3 vs 2 Nantes', 'Toulouse 2 vs 4 Brest']",[],,,https://ca.soccerway.com/matches/2025/03/30/france/ligue-1/toulouse/brest/4372984/
Nice,Nantes,1,2,1 - 2,5,11,3,9,"['Rennes 2 vs 1 Nantes', 'Rennes 2 vs 1 Nantes', 'Rennes 2 vs 1 Nantes', 'Nantes 1 vs 1 PSG', 'Nantes 1 vs 1 PSG', 'Toulouse 1 vs 2 Lille', 'Toulouse 1 vs 2 Lille', 'Toulouse 1 vs 2 Lille', 'Nice 1 vs 2 Nantes', 'Nice 1 vs 2 Nantes', 'Nice 1 vs 2 Nantes']","['Marseille 3 vs 2 Toulouse', 'Le Havre 3 vs 2 Nantes', 'Toulouse 2 vs 4 Brest']","[11, 14, 38]",11,38,https://ca.soccerway.com/matches/2025/04/04/france/ligue-1/nice/nantes/4372990/
